,B. TECH. (FIRST YEAR) ,,,,
SEMESTER ,SEMESTER - I ,,,SEMESTER - II ,
Start of Semester (Start of Classes) ,5/8/2024,,,6/1/2025,
End of Semester (End of Classes) ,20-12-2024,,,23-05-2025,
Academic Activity ,Start Date ,End Date ,,Start Date ,End Date 
Term Assessment - I Exam (TA1),16-09-2024,20-09-2024,,19-02-2025,21-02-2025
Jury Based Assessment – I ,23-09-2024,27-09-2024,,24-02-2025,28-02-2025
Term Assessment - II Exam (TA2),13-11-2024,15-11-2024,,16-04-2025,18-04-2025
Jury Based Assessment – II ,18-11-2024,22-11-2024,,21-04-2025,25-04-2025
Unit-V Assessment ,2/12/2024,7/12/2024,,5/5/2025,9/5/2025
End Semester Jury Assessment ,9/12/2024,20-12-2024,,12/5/2025,23-05-2025
Regular & Backlog End Term Theory ,24-12-2024,31-12-2024,,29-05-2025,11/6/2025
Examination ,,,,,
Declaration of Result (Tentative) ,10/1/2025,,,25-06-2025,
Start of Next Semester ,6/1/2025,,,7/7/2025,
"Rajbaug, Next to Hadapsar, Loni Kalbhor, Pune 412 201, India. ",,,,,
Contact : 020 67652560,Email : director.mitsoc@mituniversity.edu.in,,,www.mituniversity.ac.in ,
